job_title,experience_level,salary_in_usd,salary_currency,work_setting,employee_residence
AI Architect,Executive,215936,EUR,Remote,Belgium
AI Architect,Senior,146900,USD,Remote,United States
AI Architect,Senior,204000,USD,In-person,United States
AI Architect,Senior,204000,USD,In-person,United States
AI Architect,Senior,204000,USD,In-person,United States
AI Architect,Senior,305100,USD,Remote,United States
AI Architect,Senior,330000,USD,In-person,United States
AI Architect,Senior,330000,USD,In-person,United States
AI Developer,Entry-level,50000,USD,Remote,Ukraine
AI Developer,Entry-level,130000,USD,Remote,United States
AI Developer,Entry-level,215936,EUR,Remote,Germany
AI Developer,Mid-level,74883,SGD,In-person,Finland
AI Developer,Mid-level,200000,USD,Remote,United States
AI Developer,Senior,60000,USD,In-person,Ukraine
AI Developer,Senior,161952,EUR,Hybrid,France
AI Developer,Senior,192000,USD,In-person,United States
AI Developer,Senior,230000,USD,In-person,United States
AI Engineer,Entry-level,35000,USD,Remote,Croatia
AI Engineer,Mid-level,40680,GBP,In-person,United Kingdom
AI Engineer,Mid-level,140000,USD,Remote,United States
AI Engineer,Mid-level,175000,USD,In-person,United States
AI Engineer,Mid-level,180000,USD,In-person,United States
AI Engineer,Mid-level,300000,USD,Remote,Qatar
AI Engineer,Mid-level,369120,GBP,In-person,United Kingdom
AI Engineer,Senior,83900,USD,In-person,United States
AI Engineer,Senior,150000,USD,Remote,United States
AI Engineer,Senior,168000,USD,In-person,United States
AI Engineer,Senior,170200,USD,In-person,United States
AI Engineer,Senior,176000,USD,In-person,United States
AI Engineer,Senior,180000,USD,Remote,United States
AI Engineer,Senior,212000,USD,In-person,United States
AI Engineer,Senior,220000,USD,In-person,United States
AI Engineer,Senior,223000,USD,In-person,United States
AI Engineer,Senior,227850,USD,Remote,United States
AI Engineer,Senior,239400,USD,In-person,United States
AI Engineer,Senior,350000,USD,In-person,United States
AI Engineer,Senior,372000,USD,In-person,United States
AI Programmer,Entry-level,40000,USD,In-person,South Korea
AI Programmer,Entry-level,40000,USD,Remote,Pakistan
AI Programmer,Entry-level,70000,USD,In-person,India
AI Research Engineer,Entry-level,24940,EUR,Remote,Portugal
AI Research Engineer,Entry-level,36940,GBP,Remote,United Kingdom
AI Research Engineer,Mid-level,81206,GBP,In-person,United Kingdom
AI Research Engineer,Mid-level,150000,USD,Remote,Tunisia
AI Scientist,Entry-level,31520,EUR,Remote,Portugal
AI Scientist,Entry-level,50000,USD,Remote,United States
AI Scientist,Entry-level,200000,USD,Hybrid,Canada
AI Scientist,Executive,200000,USD,Remote,United States
AI Scientist,Mid-level,30000,USD,In-person,Ghana
AI Scientist,Mid-level,38868,EUR,Hybrid,Spain
AI Scientist,Mid-level,81838,AUD,Remote,Australia
AI Scientist,Mid-level,120000,USD,In-person,United States
AI Scientist,Mid-level,120000,USD,Remote,Germany
AI Scientist,Mid-level,200000,USD,Remote,India
AI Scientist,Mid-level,200000,USD,Remote,United States
AI Scientist,Senior,55000,USD,Remote,Spain
AI Scientist,Senior,64781,EUR,Hybrid,Germany
AI Scientist,Senior,100000,USD,Remote,Turkey
AI Scientist,Senior,125000,USD,Remote,Colombia
Analytics Engineer,Entry-level,37573,EUR,Remote,Netherlands
Analytics Engineer,Entry-level,84000,USD,In-person,United States
Analytics Engineer,Entry-level,90000,USD,In-person,United States
Analytics Engineer,Entry-level,119200,USD,Remote,United States
Analytics Engineer,Entry-level,130000,USD,Hybrid,United States
Analytics Engineer,Entry-level,156450,USD,Remote,United States
Analytics Engineer,Executive,150000,USD,Remote,United States
Analytics Engineer,Executive,153000,USD,Remote,United States
Analytics Engineer,Executive,157000,USD,Remote,United States
Analytics Engineer,Executive,170000,USD,In-person,United States
Analytics Engineer,Executive,175000,USD,Remote,United States
Analytics Engineer,Executive,200000,USD,In-person,United States
Analytics Engineer,Executive,200000,USD,Remote,United States
Analytics Engineer,Executive,210000,USD,Remote,United States
Analytics Engineer,Executive,210000,USD,Remote,United States
Analytics Engineer,Executive,221000,USD,Remote,United States
Analytics Engineer,Executive,250000,USD,Remote,United States
Analytics Engineer,Mid-level,54000,USD,In-person,United States
Analytics Engineer,Mid-level,61520,GBP,In-person,United Kingdom
Analytics Engineer,Mid-level,61520,GBP,In-person,United Kingdom
Analytics Engineer,Mid-level,75000,USD,In-person,United States
Analytics Engineer,Mid-level,75000,USD,In-person,United States
Analytics Engineer,Mid-level,78000,USD,Remote,Brazil
Analytics Engineer,Mid-level,84000,USD,Remote,United States
Analytics Engineer,Mid-level,90000,USD,Remote,United States
Analytics Engineer,Mid-level,100000,USD,In-person,United States
Analytics Engineer,Mid-level,100000,USD,Remote,United States
Analytics Engineer,Mid-level,104663,GBP,In-person,United Kingdom
Analytics Engineer,Mid-level,112400,USD,In-person,United Kingdom
Analytics Engineer,Mid-level,116480,USD,In-person,United States
Analytics Engineer,Mid-level,120000,USD,In-person,United States
Analytics Engineer,Mid-level,122500,USD,Remote,United States
Analytics Engineer,Mid-level,131200,USD,Remote,United States
Analytics Engineer,Mid-level,131200,USD,Remote,United States
Analytics Engineer,Mid-level,140000,USD,In-person,United States
Analytics Engineer,Mid-level,144628,USD,In-person,United States
Analytics Engineer,Mid-level,146100,USD,In-person,United Kingdom
Analytics Engineer,Mid-level,165000,USD,In-person,United States
Analytics Engineer,Mid-level,172200,USD,Remote,United States
Analytics Engineer,Mid-level,185700,USD,In-person,United States
Analytics Engineer,Mid-level,193170,USD,In-person,United States
Analytics Engineer,Mid-level,200000,USD,In-person,United States
Analytics Engineer,Mid-level,369120,GBP,In-person,United Kingdom
Analytics Engineer,Mid-level,430640,GBP,In-person,United Kingdom
Analytics Engineer,Senior,48000,USD,Remote,Argentina
Analytics Engineer,Senior,63000,USD,In-person,United States
